"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","apple.com","4,600,902","100"
"2","youtube.com","17,811,336","100"
"3","www.google.com","12,131,939","100"
"4","www.blogger.com","25,278,670","99"
"5","docs.google.com","2,273,261","99"
"6","support.google.com","4,584,814","99"
"7","play.google.com","2,384,183","99"
"8","microsoft.com","4,601,574","99"
"9","cloudflare.com","5,238,442","98"
"10","en.wikipedia.org","5,479,672","98"
"11","wordpress.org","9,962,935","98"
"12","linkedin.com","8,894,171","98"
"13","adobe.com","2,856,082","98"
"14","maps.google.com","4,381,734","98"
"15","plus.google.com","11,799,657","98"
"16","googleusercontent.com","2,161,519","97"
"17","europa.eu","1,687,415","97"
"18","vimeo.com","3,117,072","97"
"19","mozilla.org","1,958,352","97"
"20","accounts.google.com","2,533,803","97"
"21","youtu.be","3,940,995","97"
"22","drive.google.com","1,795,987","97"
"23","sites.google.com","1,695,311","97"
"24","medium.com","1,135,902","96"
"25","istockphoto.com","3,092,516","96"
"26","bp.blogspot.com","15,969,983","96"
"27","bbc.co.uk","1,421,243","96"
"28","facebook.com","45,636,002","96"
"29","vk.com","1,591,050","96"
"30","creativecommons.org","1,554,308","96"
"31","line.me","610,305","96"
"32","github.com","2,021,269","96"
"33","amazon.com","4,019,050","96"
"34","es.wikipedia.org","778,786","96"
"35","bbc.com","673,270","95"
"36","t.me","531,856","95"
"37","msn.com","988,507","95"
"38","globo.com","384,223","95"
"39","google.com.br","263,708","95"
"40","hugedomains.com","5,006,062","95"
"41","feedburner.com","1,731,645","95"
"42","whatsapp.com","1,803,606","95"
"43","google.fr","381,832","95"
"44","theguardian.com","1,204,202","95"
"45","live.com","737,083","95"
"46","google.de","1,090,583","95"
"47","www.yahoo.com","914,280","95"
"48","dailymotion.com","1,068,262","95"
"49","imdb.com","1,230,022","95"
"50","wikimedia.org","1,371,568","95"
"51","mail.ru","477,612","95"
"52","paypal.com","910,765","95"
"53","who.int","2,076,001","95"
"54","google.co.uk","542,498","95"
"55","news.google.com","688,416","95"
"56","google.es","414,396","95"
"57","nih.gov","1,059,447","95"
"58","pt.wikipedia.org","358,749","95"
"59","google.co.jp","629,955","95"
"60","uol.com.br","562,333","95"
"61","fr.wikipedia.org","540,603","95"
"62","get.google.com","606,403","95"
